Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
628;Mikkel Damsgaard;DEN;MFFW;Sampdoria;Serie A;21;2000;11;6;578;06.kwi;0;sty.72;0.31;18.lut;0;0;19.sty;0.16;0;0;31.lip;41.9;75.7;515.3;144.8;16.cze;19.lip;84.1;11.cze;15.lut;76.3;lut.97;maj.16;57.6;0;sty.72;lut.97;sty.41;0.16;kwi.69;41.9;41.1;0.78;0.16;0.16;10;0.31;sty.41;0;0;0;0;28.wrz;lip.81;maj.16;maj.31;33.8;sty.25;0.63;0.31;31.lip;0.78;0.63;sty.88;sty.25;mar.91;mar.13;0.16;0;0.16;0.31;0.16;0.16;0.16;0;0;0;0;0;mar.44;sty.41;sty.88;0.94;0.63;sty.72;kwi.53;37.9;lut.81;26.wrz;cze.72;25;sie.59;11.mar;07.mar;02.mar;0.16;0;sty.88;sty.56;5;01.wrz;0;56.7;sty.72;10;26.lip;24.kwi;mar.91;55.8;lut.34;mar.59;65.2;lut.34;0;41.3;189.1;101.4;kwi.84;02.mar;0.78;01.wrz;lut.19;46.1;38;82.4;lip.19;0.16;0;0;sty.56;sty.56;0;sty.41;sty.41;0;0;0;sie.28;0.63;0.63;50
629;Flavius Daniliuc;AUT;DF;Nice;Ligue 1;21;2001;24;14;1293;14.kwi;0;0.28;0;0;0;0;10.kwi;0;0;0;53.7;60;89.5;1053.5;358.1;18.mar;19.sie;92.6;27.wrz;30.cze;91.4;cze.94;sie.61;80.6;0;0.21;lut.71;0.28;0.21;mar.19;60;53.6;cze.39;0.9;0;cze.67;sty.32;0.42;0;0;0;0;45.4;lip.78;cze.81;cze.67;44.7;lut.36;maj.49;0.07;53.7;0;0.49;sty.53;0.76;0.56;0.56;0;0;0;0;0;0;0;0;0;0;0;0;mar.26;sty.88;lut.22;0.83;0.21;sty.39;02.maj;55.6;01.lis;16.kwi;maj.14;31.4;lip.85;06.cze;sty.94;lut.15;0.63;0;sty.53;sty.67;kwi.93;lut.85;0;69.9;maj.83;31.sie;35.6;cze.39;0.56;63.6;0.56;0.9;61.5;0.63;0;45.1;252.9;124.6;lut.92;0.35;0;0.49;0.35;44.6;42.9;96.3;0.63;0.28;0;0;sty.32;0.42;0.07;0.42;sty.88;0;0;0;wrz.65;sty.74;01.cze;52.1
630;Danilo;BRA;DFMF;Juventus;Serie A;30;1991;22;22;1893;21;0.05;0.67;0.14;21.kwi;0.07;0.33;19;0;0;0;60.1;69;87;1190;441.3;20.maj;21.sie;94.1;30.wrz;33.8;91.3;lip.95;11.wrz;66.8;0.1;0.71;6;0.76;0.24;kwi.57;69;60.2;sie.81;sty.76;0;maj.29;sty.48;0.62;0;0;0;0;48.1;11;10;maj.29;54.1;sty.57;7;0.29;60.1;0.38;1;sty.33;1;sty.76;sty.43;0.1;0;0.14;0.1;0;0.14;0.1;0;0;0.05;0;0;sty.81;01.maj;01.maj;0.62;0.14;0.76;sty.33;57.1;0.57;lip.71;lut.57;33.3;mar.52;03.sty;01.sty;sty.43;0.62;0;0.81;sty.86;mar.67;03.maj;0;78.5;maj.52;28.sty;43.7;10.sie;0.81;70;0.19;0.43;44.4;0.19;0.05;49.1;190.2;105.8;mar.76;sty.24;0.14;0.38;0.38;53.5;52.2;97.7;0.71;0.29;0;0;1;0.52;0;0.62;01.maj;0;0;0;sie.48;01.wrz;01.sty;63.5
631;Kevin Danso;AUT;DF;Lens;Ligue 1;23;1998;33;32;2790;31;0.06;0.42;0.13;30.sie;0.15;0.5;10.maj;0;0;0;52.3;59.3;88.1;1126.9;332.4;13.mar;14.maj;91.5;29.sie;32.2;92.7;sie.94;12;74.3;0.06;0.16;sty.58;0.06;0;02.sty;59.3;57.5;sty.84;sty.68;0;kwi.81;sty.19;0.03;0;0;0;0;47.4;mar.68;sie.23;maj.52;49.1;lut.84;0.1;0.16;52.3;0.13;1;0.84;0.39;0.52;0.42;0;0;0.03;0.03;0.03;0.13;0.1;0;0;0;0.03;0;sty.74;sty.13;sty.16;0.55;0.03;0.81;sty.35;59.5;0.55;wrz.77;mar.84;39.3;05.cze;kwi.39;0.32;sty.65;0.87;0;0.77;lut.42;kwi.16;kwi.19;0;69.6;wrz.58;36.5;37.1;sty.52;0.55;68;0.23;0.42;53.8;0.32;0;45.5;332.9;177.4;mar.13;0.16;0;0.29;0.26;47.5;46.6;98.1;0;0.29;0.06;0.03;sty.58;sty.42;0.03;0.03;sty.13;0.03;0;0;wrz.81;lut.74;01.sty;71.4
632;Dante;BRA;DF;Nice;Ligue 1;38;1983;34;33;2870;31.9;0;0.41;0.06;15.kwi;0;0;13.kwi;0;0;0;67.3;74.2;90.7;1463;475.2;17.wrz;18.lip;96.1;37.8;39.9;94.6;11.mar;14.sie;76.5;0;0.19;mar.45;0.16;0.03;mar.61;74.2;72.7;sty.47;sty.38;0.06;maj.89;sty.66;0.09;0;0;0;0;61.7;04.sty;08.maj;60.4;10.mar;sty.85;0.09;0.19;67.3;0.03;0.75;sty.13;0.38;0.75;0.66;0;0;0.03;0.03;0.03;0.09;0.03;0;0;0.03;0.03;0;01.maj;0.88;0.97;0.5;0.03;0.56;0.82;69.2;0.25;cze.87;lut.95;42.9;mar.67;lut.95;0.25;sty.76;0.97;0;0.78;sty.88;mar.39;mar.26;0.03;82.9;wrz.78;39.6;45.8;02.kwi;0.85;81.5;0.22;0.25;87.5;0.22;0;60;286.4;138.9;03.lip;0.34;0;0.19;0.06;63.6;63.2;99.4;0.03;0.22;0.09;0.03;0.75;0.38;0;0.09;0.88;0.03;0;0;09.wrz;02.lip;0.75;73.3
633;Ebrima Darboe;GAM;MF;Roma;Serie A;20;2001;1;1;63;0.7;0;sty.43;0;0;0;0;17;0;0;0;54.3;57.1;95;1315.7;214.3;sie.57;sie.57;100;28.cze;31.4;90.9;15.lip;15.lip;100;0;0;maj.71;0;0;sty.43;57.1;52.9;kwi.29;kwi.29;0;10;kwi.29;0;0;0;0;0;52.9;lut.86;sty.43;kwi.29;51.4;sty.43;0;0;54.3;0;0;lut.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;lut.86;lut.86;0;lut.86;0;0;sty.43;0;sty.43;14.mar;kwi.29;30;kwi.29;lip.14;lut.86;0;0;0;0;lut.86;maj.71;0;sty.43;67.1;sty.43;11.kwi;50;lip.14;sty.43;62.9;0;0;0;0;0;50;238.6;58.6;sty.43;0;sty.43;lut.86;0;48.6;48.6;100;kwi.29;0;0;0;sty.43;sty.43;0;0;lut.86;0;0;0;lip.14;0;0;0
634;Márton Dárdai;GER;DF;Hertha BSC;Bundesliga;20;2002;12;9;755;08.kwi;0;0.48;0.36;75;0;0;14.mar;0;0;0;31.9;44.2;72.2;828.9;347.1;kwi.64;05.cze;83;16.wrz;20;84.5;10;17.maj;57.1;0.12;0.24;mar.21;0;0;lut.98;44.2;40;kwi.17;lut.62;0;maj.36;lut.14;0.12;0.83;0.36;0.48;0;23.sie;cze.43;13.wrz;38.1;lut.38;lut.14;0.71;0;31.9;0.12;0.83;sty.31;0.83;0.6;0.36;0.24;0;0;0;0;0.12;0;0.12;0;0;0;0;sty.67;0.71;sty.19;0.48;0;0.83;02.lut;41.2;sty.19;sie.93;mar.45;38.7;kwi.76;kwi.17;0;03.sty;0.83;0.12;lut.26;01.wrz;mar.57;mar.81;0.12;56.2;lip.62;36.7;19.cze;mar.69;0.6;52.4;0.24;0.48;50;0.24;0;32.1;177.1;99;sty.55;0.12;0;0.48;0.36;34;33.3;97.9;0.24;0.24;0;0;sty.19;0.95;0;0.12;0.71;0;0;0;07.lut;sty.79;01.lip;62.5
635;Sergi Darder;ESP;MF;Espanyol;La Liga;28;1993;36;36;3125;34.7;0.09;sty.27;0.49;38.6;0.07;0.18;23.lut;0;0;0;41.6;50.3;82.6;827.3;232.9;17.sty;18.sie;90.8;17.sty;19.mar;88.5;cze.63;10.kwi;63.9;0.26;sty.18;05.lip;sty.24;0.17;04.maj;50.3;47.2;03.sie;sty.56;0.2;wrz.91;lut.74;01.sty;0.84;0.29;0.43;0;36.6;kwi.55;wrz.14;04.wrz;44.9;0.78;0.12;0.23;41.6;0.26;0.69;sty.61;0.95;lut.54;sty.96;0.2;0.03;0.12;0.12;0.12;0.4;0.37;0;0;0.03;0;0;sty.24;0.75;0.52;0.46;0.26;0.35;sty.41;24.maj;01.lip;15.mar;mar.66;24;kwi.35;sie.36;lut.56;0.98;0.06;0;0.92;sty.27;lut.51;0.92;0.06;58.9;sty.84;12.wrz;37.7;14.sty;sty.24;56.1;sty.21;sty.84;65.6;sty.27;0.09;43.9;271.2;149.5;maj.76;02.sty;0.37;0.75;sty.24;48.4;45.1;93.2;sty.84;0.12;0;0;01.sty;sty.33;0;01.sty;0.75;0;0;0;maj.97;0.43;0.69;38.5
636;Vladimír Darida;CZE;MF;Hertha BSC;Bundesliga;31;1990;25;23;1786;19.sie;0.1;sty.21;0.45;37.5;0.08;0.22;20.cze;0.05;0;0;34.8;48.3;72;663.3;204.2;14.cze;17.mar;84.5;14.cze;18.sty;80.5;04.sie;10.sty;47.7;0.25;sty.62;lut.27;0.86;0.25;mar.23;48.3;43;maj.35;lut.27;0.15;09.wrz;sty.97;sty.36;sty.62;0.56;0.86;0.1;28.lip;07.gru;12.maj;sie.54;36.6;sty.67;0.66;0.3;34.8;0.25;01.cze;sty.82;lut.27;lut.42;sty.57;0.56;0;0.15;0.15;0;0.3;0.3;0;0;0;0;0;sty.92;sty.16;01.sty;0.45;0.45;0.56;sty.36;40.7;0.81;17.maj;maj.76;32.9;maj.35;sie.54;mar.59;sty.52;0.25;0;sty.26;sty.52;mar.43;sty.31;0.05;60.3;lut.27;15.maj;32.3;15.maj;sty.26;55.4;0.76;sty.26;60;0.81;0.2;35.8;160.8;71.7;lut.37;0.81;0.05;sty.46;sty.36;48.1;38.6;80.3;mar.23;0.3;0;0;sty.26;sty.77;0.15;sty.36;sty.16;0;0;0;wrz.14;0.66;sty.92;25.maj
637;Karl Darlow;ENG;GK;Newcastle Utd;Premier League;31;1990;8;8;720;8;0;0;0;0;0;0;0;0;0;0;19;31.6;60.1;838.4;573.1;sty.88;sty.88;100;maj.13;maj.25;97.6;12;24.kwi;49.2;0;0;sty.25;0;0;0;31.6;19;12.cze;kwi.63;0;2;lut.38;0;0;0;0;0;sie.75;01.maj;21.kwi;sty.25;24.sie;0;0;mar.63;19;0.13;0.88;0.13;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13;0;33.6;27.wrz;33.1;0.5;0;0;21.mar;0;0;0;0;0;11.wrz;68.3;36.8;0;0;0;0;0;11.sie;11.cze;98.9;0;0.13;0;0;0.13;0.25;0;0;0;0;0.13;0;mar.88;0;0;0
