Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Max Aarons;ENG;DF;Norwich City;Premier League;22;2000;34;32;2881;32;0;0.41;0.06;15.kwi;0;0;20.maj;0;0;0;34;45;75.5;574.1;214.8;17.maj;19.kwi;90;13.sty;17;77;03.cze;cze.78;45.2;0.06;0.59;sty.56;sty.13;0.25;lut.94;45;34.4;10.cze;0.84;0.06;maj.41;0.59;sty.41;0;0;0;0;26.maj;wrz.59;sie.94;kwi.91;29;0.91;wrz.72;0.06;34;0.22;0.88;sty.63;sty.75;sty.19;0.84;0.06;0.09;0.13;0.06;0;0.16;0.16;0;0;0;0;0;lut.16;sty.16;sty.56;0.59;0;sty.16;sty.81;63.8;0.66;13.cze;mar.53;26;lip.97;kwi.38;sty.22;lut.69;0.69;0.03;2;sty.75;mar.91;lut.19;0;58;05.cze;23.mar;23.sie;15;0.91;47.8;01.mar;lut.44;42.3;01.wrz;0.19;33.9;199.4;121.7;maj.44;sty.66;0.41;0.84;0.94;36;32.4;89.9;sty.28;0.25;0;0;0.97;sty.84;0.03;sty.41;sty.16;0;0.06;0.03;maj.53;0.47;sty.59;22.lip
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;34;1987;34;34;2983;33.1;0.06;0.54;0.18;33.3;0.11;0.33;18.lip;0;0;0;38.7;47;82.4;835.8;287.9;10.lut;11.kwi;89.9;22.kwi;25;89.4;maj.65;wrz.15;61.7;0;0.24;lut.45;0.18;0;lut.72;47;44;03.lut;lut.45;0;maj.68;sty.66;0.06;0;0;0;0;35.3;mar.78;lip.95;31.lip;12.sty;sty.48;0.42;0.12;38.7;0.15;0.97;sty.24;0.88;0.63;0.42;0;0.09;0.03;0;0.09;0.03;0;0;0.03;0;0;0;sty.87;sty.39;sty.24;0.6;0.03;0.39;0.82;48.1;0.42;13.cze;kwi.89;35.9;lip.61;maj.14;0.88;sty.87;0.79;0.06;01.wrz;03.lis;kwi.98;03.lut;0;57.3;sie.28;32.8;25.lip;02.wrz;0.85;54.5;0.48;0.66;72.7;0.48;0.03;35.7;204.7;115.5;lut.75;0.73;0;0.45;0.39;37.5;36.3;96.9;0.36;0.15;0.03;0;01.mar;0.73;0;0.06;sty.39;0;0.03;0;cze.77;02.lut;sty.36;59.8
3;Salis Abdul Samed;GHA;MF;Clermont Foot;Ligue 1;22;2000;31;29;2462;27.kwi;0.04;0.66;0.18;27.sie;0.06;0.2;20.mar;0;0;0;55.9;61;91.7;1033.3;184.4;22.maj;24.sty;93.5;25.sie;27.lut;94.9;cze.72;lip.81;86;0;0.55;lut.81;0.47;0.04;lut.96;61;60.3;0.73;0.58;0.04;08.mar;0.8;0.36;0;0;0;0;52.6;kwi.71;mar.72;kwi.82;53.1;01.wrz;0.15;0.29;55.9;0.07;0.58;sty.24;0.84;sty.46;01.wrz;0;0;0.15;0.15;0.07;0.04;0.04;0;0;0;0;0;02.sty;sty.24;0.91;0.91;0.18;0.69;lut.15;32.2;sty.46;23.kwi;cze.53;27.wrz;lip.19;12.mar;mar.94;0.99;0.04;0;0.95;sty.86;mar.87;0.55;0;70.4;02.sty;22.lip;41.8;10.wrz;0.62;69.9;0.99;sty.53;64.3;01.wrz;0.07;53.5;246.5;106.3;lut.85;0.73;0.15;0.84;sty.46;58.6;54.2;92.5;sty.72;0.44;0.11;0.07;sty.64;sty.28;0;0.36;sty.24;0;0;0;sie.76;0.88;0.88;50
4;Laurent Abergel;FRA;MF;Lorient;Ligue 1;29;1993;34;34;2956;32.8;0;0.91;0.21;23.mar;0;0;22.cze;0;0;0;40.7;49.8;81.6;780.8;206;16.mar;18.kwi;88.6;17.mar;19.cze;87.9;cze.25;wrz.39;66.6;0.06;0.91;mar.87;0.58;0.18;kwi.18;49.8;49;0.85;0.64;0.18;wrz.48;sty.49;0.79;0.03;0;0;0;37.6;maj.64;cze.65;kwi.48;43.9;0.73;0.15;0.15;40.7;0.21;0.55;sty.83;sty.68;02.sty;sty.49;0.06;0.03;0.03;0.21;0.18;0.15;0.12;0;0;0;0.03;0;mar.57;lut.23;sty.49;sty.71;0.37;01.sie;kwi.97;36.2;mar.17;28;07.wrz;28.lut;wrz.27;15.mar;mar.41;sty.68;0.09;0;sty.59;lut.56;cze.13;0.34;0;61.6;0.67;13.lip;40.3;11.cze;0.46;60.9;sty.28;sty.98;64.6;sty.34;0.09;45.7;171.9;86.4;lut.87;sty.13;0.09;0.85;sty.46;46.3;43;93;sty.86;0.27;0;0;01.kwi;02.lip;0.03;0.79;lut.23;0;0;0;sie.87;0.43;0.43;50
5;Charles Abi;FRA;FW;Saint-Étienne;Ligue 1;22;2000;1;1;45;0.5;0;0;0;0;0;0;0;0;0;0;4;12;33.3;48;0;2;4;50;2;6;33.3;0;0;0;0;0;0;0;0;0;12;12;0;0;0;6;0;2;0;0;0;0;10;0;2;12;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;28;2;07.sty;0;22;6;2;0;0;2;0;0;0;0;24;0;0;10;18;6;24;0;0;0;0;0;18;118;18;0;2;0;8;0;24;16;66.7;4;0;0;0;2;0;0;2;0;0;0;0;4;2;0;100
6;Dickson Abiama;NGA;FW;Greuther Fürth;Bundesliga;23;1998;24;5;726;08.sty;0;lut.22;0.49;22.lut;0;0;15.cze;0;0;0;11.sty;17.lut;64.7;160;40.7;cze.67;wrz.63;69.2;03.wrz;kwi.69;65.8;0.62;sty.23;50;0.12;0.99;0.86;0.74;0;01.cze;17.lut;16;01.lis;0.12;0.12;maj.19;0.25;0.25;0;0;0;0;10.lip;mar.95;lut.47;mar.33;wrz.38;lut.35;0;0.37;11.sty;0.25;0.62;0.62;01.lis;lut.47;sty.48;0;0;0.12;0.25;0.62;0.25;0.12;0;0;0.12;0;0;sty.73;0.86;0.37;0.86;0.49;0.25;sty.36;18.lut;01.lis;23.maj;kwi.81;20.maj;lut.59;10;10.wrz;sty.23;0.37;0;0.86;0.99;lut.72;0.86;0;33;01.lis;mar.46;15.cze;15.cze;mar.83;31.9;0.74;lut.22;33.3;0.86;0.12;19;74.7;40.2;lut.59;0.99;0.86;05.cze;sty.36;41.4;21.sty;51;maj.93;0.37;0;0;lut.22;sty.48;sty.85;0.25;0.86;0;0;0;kwi.81;lut.72;kwi.94;35.5
7;Matthis Abline;FRA;FW;Rennes;Ligue 1;19;2003;7;1;103;01.sty;0;sty.82;0;0;0;0;08.cze;0;0;0;lip.27;09.wrz;80;90.9;20;mar.64;maj.45;66.7;mar.64;mar.64;100;0;0;0;0;0.91;0.91;0.91;0;0.91;09.wrz;09.wrz;0;0;0;mar.64;0;0.91;0;0;0;0;sie.18;0.91;0;lut.73;cze.36;0;0;0;lip.27;0;0;0.91;0;0.91;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;0;0.91;23.cze;mar.64;15.kwi;mar.64;12.lip;lip.27;sty.82;0;0;sty.82;0.91;0.91;0.91;0;22.lip;sty.82;sty.82;10;10.wrz;lut.73;22.lip;0.91;sty.82;50;0.91;0;16.kwi;61.8;31.sie;lut.73;0;0;sty.82;kwi.55;35.5;11.sie;33.3;lip.27;0;0;0;sty.82;0.91;0;0.91;0;0;0;0;cze.36;0;sty.82;0
8;Tammy Abraham;ENG;FW;Roma;Serie A;24;1997;37;36;3084;34.3;0.5;lut.71;0.93;34.4;0.15;0.44;12.lut;0.06;0.09;0.09;14.cze;20.lut;72;224.9;51.2;sie.69;11.kwi;76.2;04.maj;maj.86;69.2;sty.28;01.cze;80;0.12;01.lut;01.sie;0.82;0.12;sty.78;20.lut;18.mar;sty.98;0.17;0.15;maj.92;0.32;0.7;0;0;0;0;12.sie;kwi.37;03.mar;sty.84;14.sty;sty.92;0.03;0.7;14.cze;0;0.29;01.lut;0.7;lut.33;sty.63;0.03;0.03;0.38;0.17;0.09;0.35;0.15;0;0.03;0.09;0.09;0;0.99;0.64;0.29;0.44;0.26;0.29;0.67;43.5;0.38;13.cze;04.lut;29.cze;sty.34;maj.71;cze.56;0.96;0.32;0;0.64;0.44;sty.43;0.9;0;32.4;0.96;lut.54;16.mar;15.lut;maj.86;30.kwi;01.sie;lut.22;48.7;sty.14;0.09;18;76.8;39.4;lut.45;0.82;0.67;lut.39;sty.28;41.2;22.kwi;54.3;cze.71;0.26;0;0;sty.25;sty.46;0.5;0.7;0.64;0.03;0.03;0;mar.67;lut.39;lut.89;45.3
9;Luis Abram;PER;DF;Granada;La Liga;26;1996;8;6;560;06.lut;0;0.32;0;0;0;0;7;0;0;0;31.mar;35.5;88.2;696.8;186;cze.77;lip.42;91.3;18.maj;20;92.7;maj.81;lip.74;75;0;0;sty.29;0;0;sty.45;35.5;34;sty.45;0.81;0;sty.61;sty.13;0;0;0;0;0;28.lut;lut.42;kwi.84;29.2;mar.55;sty.77;0.32;0.16;31.mar;0.16;0.16;0.32;0.16;0.48;0.16;0;0;0.32;0;0;0.16;0;0;0;0.16;0;0;sty.13;0.97;0.81;0.16;0.16;0.48;0.65;75;0.16;maj.65;02.sty;37.1;lut.26;mar.23;0.16;02.sty;0.81;0.32;sty.29;sty.77;02.wrz;cze.29;0.16;46.8;10.lut;30;18.lut;sty.13;0.81;45.5;0;0;0;0;0;25.lut;129.5;77.1;sty.13;0;0;0.32;0;30.2;29.kwi;97.3;0.16;0.32;0;0;0.81;0.81;0;0;0.97;0;0;0.16;04.mar;sty.94;lut.42;44.4
10;Francesco Acerbi;ITA;DF;Lazio;Serie A;34;1988;30;29;2536;28.lut;0.14;0.57;0.25;43.8;0.25;0.57;09.lut;0;0;0;64.3;71.1;90.3;1345.5;409.9;20.sty;21.cze;93.1;33.3;35.3;94.4;wrz.93;12.wrz;77.1;0;0.21;kwi.33;0.21;0;03.gru;71.1;68.6;lut.52;02.lut;0.07;maj.96;lut.66;0.04;0;0;0;0;52.8;05.cze;12.lip;54.1;12.lut;lut.77;0.04;0.28;64.3;0.04;0.78;0.85;0.43;0.64;0.5;0.04;0;0.04;0.07;0;0.07;0.04;0;0;0;0.04;0;0.96;0.43;0.64;0.32;0;0.32;0.71;45;0.39;maj.85;01.lip;29.sty;03.maj;lut.41;0.39;01.lip;01.cze;0;0.64;01.lip;lut.66;04.sie;0.04;80.2;12.mar;42;41.4;02.mar;0.78;77.9;0.11;0.14;75;0.11;0;52.4;284.8;161.6;mar.48;0.71;0;0.28;0.11;58.8;57.8;98.3;0.35;0.07;0.04;0;0.71;0.67;0.14;0.04;0.43;0.04;0;0;10.lip;lut.84;01.cze;64
11;Ragnar Ache;GER;MFFW;Eint Frankfurt;Bundesliga;23;1998;13;1;259;02.wrz;0;mar.79;0.69;18.lut;0;0;15.sie;0;0;0;14.maj;24.maj;59.2;209.3;43.8;lip.59;12.sty;62.9;maj.86;wrz.31;63;0.34;01.mar;33.3;0.34;0.69;01.mar;0.69;0.69;01.mar;24.maj;23.sie;0.69;0;0;sie.97;0.34;02.lip;0;0;0;0;12.sty;cze.21;cze.21;kwi.14;12.sty;sty.72;0.69;0.34;14.maj;0.34;0.69;sty.38;sty.72;sty.72;01.mar;0;0.34;0.34;0;0;0.34;0;0;0;0.34;0;0;0.69;0.69;0;0.34;0.34;0.69;01.mar;66.7;0.34;23.sie;06.wrz;29;sty.72;10;12.sty;01.mar;0;0;01.mar;0;0.69;0.34;0;44.8;0.34;lut.76;20.mar;24.sie;cze.21;44.5;sty.38;lut.76;50;sty.72;0;26.wrz;150.7;96.2;maj.52;02.lip;sty.72;maj.52;lut.76;57.2;34.8;60.8;10.lip;0;0;0;02.lip;lut.76;02.lip;02.lip;0.69;0;0;0;maj.17;06.wrz;mar.79;64.5
12;Mohamed Achi;FRA;MF;Nantes;Ligue 1;20;2002;1;0;10;0.1;0;0;0;0;0;0;0;0;0;0;30;50;60;490;0;10;10;100;20;20;100;0;10;0;0;0;0;0;0;0;50;50;0;0;0;20;0;0;0;0;0;0;40;10;0;0;50;0;0;0;30;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;10;0;0;0;0;20;20;100;20;0;0;0;0;0;0;0;10;0;0;50;0;10;30;20;0;50;0;0;0;0;0;40;170;100;10;10;0;0;0;50;40;80;10;0;0;0;0;0;0;0;10;0;0;0;10;0;0;0
13;Marcos Acuña;ARG;DF;Sevilla;La Liga;30;1991;31;26;2260;25.sty;0.04;0.68;0.2;29.kwi;0.06;0.2;22.sty;0.04;0;0;62.3;78.5;79.4;1283.3;476.7;23.maj;25.mar;93.1;27.lut;32;84.9;11;18.wrz;58;0.12;sty.63;04.sty;sty.67;0.92;04.wrz;78.5;65.3;13.lut;lut.39;0.12;cze.77;kwi.22;kwi.94;sty.59;0.04;sty.16;0.04;46.1;12.kwi;20.sty;58.5;lip.69;sty.87;09.lut;0.2;62.3;0.24;sty.16;lut.47;sty.63;lut.63;sty.67;0.64;0.04;0.12;0.16;0;0.12;0.04;0.08;0;0;0;0;lut.31;sty.55;sty.31;0.6;0.4;0.84;sty.39;60;0.56;11.lip;mar.98;34;05.mar;kwi.74;sty.67;sty.43;0.16;0;sty.27;sty.24;mar.55;01.lut;0;88;lut.75;27.maj;41.3;25.cze;0.92;75.6;sty.79;lut.59;69.2;sty.91;0.12;59.4;292.9;178.4;cze.37;02.mar;0.24;01.kwi;01.sie;62.1;59.2;95.3;lut.63;0.4;0;0;sty.63;lut.15;0;kwi.94;sty.55;0;0.04;0;sie.92;sty.31;sty.47;47.1
14;Che Adams;SCO;FW;Southampton;Premier League;25;1996;30;23;2039;22.lip;0.31;lut.16;01.cze;49;0.14;0.29;12.wrz;0;0;0;14.sie;21.mar;69.6;232.4;47.9;sie.24;10.cze;77.9;kwi.45;maj.95;74.8;sty.32;lut.33;56.6;0.13;sty.15;0.97;0.57;0.04;sty.54;21.mar;20.cze;0.7;0;0.18;06.kwi;0.44;0.48;0;0;0;0;13.maj;kwi.36;mar.44;sty.94;15.kwi;sty.23;0.04;0.7;14.sie;0.09;0.44;sty.15;sty.37;lut.25;01.maj;0;0.04;0.18;0.48;0.04;0.18;0.13;0;0;0;0;0.04;0.7;0.4;0.18;0.26;0.26;0.09;0.66;13.mar;0.57;14.cze;mar.83;26.lut;sty.67;maj.81;lip.14;01.sty;0.18;0;0.93;0.44;sty.15;0.66;0;33.7;sty.19;04.sty;14.cze;16.maj;kwi.49;33;0.62;sty.45;42.4;0.75;0;20.wrz;83;36.7;02.mar;0.75;0.48;lut.29;02.lis;45.1;23.wrz;52.9;07.maj;0;0;0;sty.37;02.lip;0.31;0.48;0.4;0;0;0;maj.29;lut.47;kwi.89;33.5
15;Tyler Adams;USA;MF;RB Leipzig;Bundesliga;23;1999;24;12;1351;15;0;0.13;0;0;0;0;19.kwi;0;0;0;52.8;60.9;86.7;873.5;217.7;26.maj;29;91.3;19.wrz;22.lut;89.8;kwi.87;cze.73;72.3;0.07;0.53;kwi.93;0.67;0;kwi.13;60.9;58.3;lut.67;sty.67;0.07;10.sty;0.4;0.2;0;0;0;0;47.8;maj.73;07.kwi;sie.67;46.8;lut.87;0.93;0.27;52.8;0.27;0.6;01.cze;sty.47;sty.67;sty.53;0;0.07;0.07;0;0;0.27;0.27;0;0;0;0;0;sty.73;01.lip;0.4;sty.13;0.2;0.53;sty.87;28.cze;sty.33;21.lip;cze.93;32;maj.93;13.lut;lut.53;lut.13;0.07;0;02.lip;sty.53;mar.27;sty.33;0.07;71;sty.93;15.lut;47.9;12.lip;0.87;68.5;0.67;sty.13;58.8;0.67;0;48;229.6;116.7;05.lip;sty.27;0.2;0.67;sty.13;53.5;49.4;92.4;01.lut;0.33;0;0;sty.33;01.lut;0;0.2;01.lip;0;0;0;10.cze;sty.53;0.8;65.7
16;Sargis Adamyan;ARM;FWMF;Hoffenheim;Bundesliga;29;1993;13;2;331;03.lip;0.27;0.81;0.54;66.7;0.33;0.5;16.lip;0;0;0;19.lip;26.maj;74.5;311.9;80.8;10.mar;12.lut;84.4;lip.84;10.mar;76.3;sty.35;lut.16;62.5;0;01.sie;sty.35;01.sie;0.54;lut.43;26.maj;25.sty;sty.35;0;0;07.mar;0;sty.62;0;0;0;0;17.sie;mar.51;maj.14;maj.14;15.wrz;sty.89;sty.35;0.81;19.lip;0;0.81;sty.35;sty.89;lut.97;lut.16;0;0.54;0;0;0.27;0.27;0.27;0;0;0;0;0;mar.51;lut.16;lut.16;01.sie;0.27;sty.35;mar.51;38.5;lut.16;21.wrz;07.mar;33.3;kwi.59;11.sty;cze.22;sty.35;0;0;sty.35;0.81;kwi.32;0.54;0;41.4;01.sie;07.mar;18.sty;17.sie;mar.24;40;sty.62;lut.43;66.7;sty.62;0.27;28.sty;136.2;55.9;mar.24;0.27;0;mar.24;mar.51;41.1;25.wrz;63.2;cze.49;0;0;0;sty.62;lut.43;01.sie;sty.62;lut.16;0;0;0;07.mar;sty.35;mar.51;27.sie
17;Martin Adeline;FRA;MFFW;Reims;Ligue 1;18;2003;8;2;352;03.wrz;0;01.mar;0.26;25;0;0;10.sie;0;0;0;27.kwi;37.4;73.3;473.6;142.3;11.mar;14.sty;80;12.mar;15.kwi;80;lut.31;mar.85;60;0;0.77;lut.56;0.51;0;lut.82;37.4;35.9;sty.54;0.51;0;12.cze;0.26;0.51;01.mar;0;01.mar;0;29.lip;lut.56;maj.13;cze.41;29.lip;0.77;0;0;27.kwi;0.26;02.maj;03.sie;02.maj;02.maj;sty.79;0;0.26;0;0;0;0;0;0;0;0;0;0;mar.59;03.sie;02.maj;sty.28;0.26;sty.28;mar.85;33.3;lut.56;26.lut;lip.18;27.maj;wrz.49;11.mar;maj.38;01.mar;0;0;01.mar;mar.59;lip.18;sty.54;0;50;lut.31;13.sty;23.cze;15.cze;sty.54;48.5;0.77;sty.28;60;0.77;0.26;31;160.3;76.9;02.maj;0.26;0;02.maj;0.77;34.4;27.kwi;79.9;lut.82;0.26;0;0;04.sty;0.51;0;0.51;03.sie;0;0;0;10.mar;0.51;02.maj;20
18;Amine Adli;FRA;FWMF;Leverkusen;Bundesliga;22;2000;25;13;1256;14;0.21;lut.71;sty.36;50;0.08;0.16;15.mar;0;0;0;28;37.1;75.4;417.5;122.4;15.maj;18.kwi;84.1;10.cze;14.sty;75.1;1;lut.21;45.2;0.14;0.93;lut.14;sty.14;0.57;lut.86;37.1;35.8;sty.36;0.14;0.07;sie.21;0.36;sty.86;0.14;0;0;0;29.wrz;maj.29;2;29.wrz;kwi.29;0.86;0.71;0.43;28;0.36;0.5;lut.79;sty.43;mar.36;lut.21;0.07;0.21;0.29;0.29;0.29;0.5;0.36;0;0;0.07;0.07;0;lut.71;sty.79;1;sty.29;0.43;sty.21;02.lip;58.6;0.86;21.kwi;cze.64;31;04.maj;sie.79;sie.14;02.maj;0.29;0;lut.21;sty.21;mar.93;0.57;0;54.6;0.71;sie.93;28.cze;20.sie;kwi.79;53.3;sty.71;mar.21;53.3;sty.93;0.07;40.1;224.8;136.9;maj.93;sty.71;sty.36;03.lip;lut.36;52.4;39;74.5;cze.57;0.21;0;0;sty.93;lut.29;0.57;sty.86;sty.79;0;0;0;cze.57;sty.36;02.maj;35.2
19;Yacine Adli;FRA;MFFW;Bordeaux;Ligue 1;21;2000;36;25;2260;25.sty;0.04;sty.31;0.6;45.5;0.03;0.07;19.wrz;0.16;0;0;36.3;49.3;73.6;770.7;253.5;14.mar;17;84.5;14;17.lut;81.5;lip.49;13.lut;56.8;0.28;lut.27;kwi.46;sty.55;0.16;05.wrz;49.3;44.2;05.cze;sty.71;0.12;lip.85;mar.63;sty.55;lut.67;sty.47;0.72;0.04;32.4;maj.62;11.lut;05.lut;42;0.92;0.4;0.16;36.3;0.28;sty.24;lut.39;sty.55;04.sty;lut.67;0.8;0.16;0.12;0.24;0.12;0.52;0.4;0.08;0;0;0.04;0;sty.91;sty.35;01.kwi;0.68;0.2;0.6;lut.67;22.kwi;02.lip;24.wrz;lip.25;29.sty;cze.61;12.lip;maj.58;sty.63;0.12;0;sty.51;lut.15;04.cze;0.6;0.04;62;01.gru;11.cze;34.3;20.lip;lut.27;57.2;sty.75;mar.15;55.7;sty.91;0.12;43.2;240.4;124;cze.14;sty.91;0.6;sty.83;lut.59;50.8;43.6;85.9;mar.67;0.2;0;0;01.sie;sty.31;0.16;sty.55;sty.35;0;0;0;cze.41;0.96;0.8;54.5
20;Michel Aebischer;SUI;MF;Bologna;Serie A;25;1997;12;4;443;04.wrz;0;0.41;0.41;100;0;0;20.sie;0;0;0;44.1;49.6;88.9;740;189;21.lut;22.lut;95.4;17.sty;19;90.3;mar.67;maj.51;66.7;0;sty.22;02.kwi;01.lut;0.2;mar.27;49.6;46.5;03.cze;sty.43;0;sie.78;02.kwi;0.41;sty.43;0;0.82;0;40.6;05.sty;mar.88;lip.55;39.4;sty.22;0.2;0.2;44.1;0.2;0.2;01.lut;0.82;sty.84;sty.43;0.2;0;0;0;0.2;0;0;0;0;0;0;0;03.cze;sty.63;sty.22;sty.43;0.41;01.lut;02.kwi;50;01.lut;26.sty;maj.51;21.sty;wrz.18;13.maj;mar.47;01.lut;0;0;01.lut;01.lut;04.sie;0.61;0;57.6;lut.65;13.sty;32.4;13.lip;sty.22;54.7;0.2;0.61;33.3;0.2;0;38.8;150;70.2;lut.24;0.2;0;0.61;sty.43;44.5;40.4;90.8;sty.63;0.2;0;0;lut.86;0.82;0;0.41;sty.63;0;0;0;cze.73;sty.22;sty.63;42.9
21;Felix Afena-Gyan;GHA;FWMF;Roma;Serie A;19;2003;17;6;668;07.kwi;0.27;lut.43;0.95;38.9;0.11;0.29;15;0;0;0;16.wrz;22.lut;76.2;247.2;35.7;wrz.86;12.lut;81.1;maj.68;07.mar;80.8;0.68;sty.22;55.6;0;0.68;0.41;0.81;0.27;sty.35;22.lut;20.wrz;sty.22;0.14;0;mar.38;0.54;01.sie;0;0;0;0;17.mar;lut.97;sty.89;sty.35;18.wrz;0.14;0.81;0.41;16.wrz;0;0.27;sty.35;sty.35;mar.24;lut.16;0;0.14;0.27;0.54;0.14;0.41;0.27;0;0.14;0;0;0;01.sie;0.54;0.14;0.81;0.14;0.54;sty.22;44.4;0.68;30;lip.43;24.sie;mar.65;12.kwi;13.wrz;0.68;0;0;0.68;0.68;sty.76;0;0;41.6;0;lut.97;17;25.wrz;07.mar;40.4;sty.22;03.lis;39.1;sty.35;0.14;32.7;159.9;103.9;mar.92;lut.16;0.95;kwi.46;kwi.32;50.3;29.lip;59.1;sie.92;0.68;0.14;0.14;02.mar;mar.51;0.54;01.sie;0.54;0;0;0;cze.22;sty.22;lut.43;33.3
22;Martin Agirregabiria;ESP;DF;Alavés;La Liga;26;1996;24;17;1616;18;0;0.28;0;0;0;0;19.lip;0;0;0;31.mar;43.8;71.4;579.8;297.3;13;15.lip;83;14.wrz;19.kwi;76.6;mar.22;07.maj;43;0.06;0.78;lut.78;01.cze;0.61;03.cze;43.8;33.7;10.sty;0.39;0;kwi.39;0.94;lut.17;0.06;0;0;0;20.wrz;wrz.89;12.wrz;02.cze;28.sty;lut.94;wrz.61;0.11;31.mar;0.17;01.lis;sty.72;sty.56;sty.44;01.lis;0.11;0.06;0;0.17;0;0.11;0.06;0;0.06;0;0;0;lut.33;sty.28;sty.22;0.67;0.44;sty.22;lut.39;51.2;sty.17;12.sie;mar.22;25.sty;maj.39;maj.78;sty.67;sty.83;0.17;0;sty.67;sty.39;mar.72;lut.44;0;54.2;lut.78;16.maj;26.cze;13.mar;0.61;44.3;0.78;01.cze;73.7;0.78;0.06;25.wrz;102.2;61.1;lut.61;1;0.11;0.56;0.61;30.mar;26.sty;86.2;01.cze;0.22;0;0;sty.67;01.maj;0.06;lut.17;sty.28;0;0.06;0;sie.33;sty.89;lut.17;46.6
23;Julen Agirrezabala;ESP;GK;Athletic Club;La Liga;21;2000;4;4;360;4;0;0;0;0;0;0;0;0;0;0;15.mar;20.maj;74.4;423.8;259.3;03.maj;03.maj;100;07.maj;07.maj;100;4;wrz.25;43.2;0;0;0.25;0;0;0;20.maj;12;08.maj;2;0;0.75;0.25;0;0;0;0;0;12;0.25;sie.25;07.maj;9;0;0;02.maj;15.mar;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;23.sie;18.sie;23.sie;0;0;0;15.mar;0;0;0;0;0;09.maj;39.8;18.sie;0;0;0;0;0;06.maj;cze.25;96.2;0;0;0;0;0;0;0;0;0;0;0;0;mar.75;0;0;0
24;Lucien Agoume;FRA;MF;Brest;Ligue 1;20;2002;27;21;1868;20.sie;0;0.77;0.05;06.mar;0;0;10.sie;0;0;0;39.8;47.2;84.4;762.5;198;16.cze;18.wrz;87.8;15.lip;17.sie;88.4;cze.44;08.sie;79.8;0;0.53;mar.27;0.53;0;mar.75;47.2;45.5;sty.63;01.mar;0.05;07.kwi;sty.49;0.19;0.05;0;0;0.05;34.7;maj.29;lip.16;maj.82;38.2;sty.78;0;0.19;39.8;0.14;0.53;sty.49;sty.15;sty.49;sty.15;0.05;0;0.19;0.1;0;0.05;0.05;0;0;0;0;0;lut.74;02.lut;01.lut;sty.25;0.29;0.77;sty.39;55.2;0.63;18.mar;maj.82;31.sie;maj.72;10;02.maj;sty.83;0.53;0;01.mar;lut.69;maj.43;sty.54;0;57.6;lut.84;17.wrz;32.9;10.sty;sty.68;56.1;0.96;sty.39;69;01.sty;0.1;36.4;173.7;84.4;lut.55;0.77;0.19;0.43;01.sty;38.1;35.7;93.7;sty.44;0.29;0;0;sty.68;0.91;0;0.19;02.lut;0;0.05;0;09.wrz;sty.49;sty.49;50
